Ajani Goldmane|Ajani's Avatar|Serra? Is that you?
Dungeon Master|Dungeons and Dragons|A fighter, a wizard, a rogue, and a cleric walk into a dungeon...
Ellywick Tumblestrum|Ellywick's Song|Hear the tale of dungeons... and dragons!
Elspeth Resplendent|Elspeth's Heavenly Cavalry|Forward! For Giada!
Elspeth Tirel|Elspeth's Solitude|Tokens are my only friends...
Elspeth, Knight-Errant|Elspeth's Endurance|Bant will prevail!
Elspeth, Sun's Champion|Elspeth's Crusade|With Heliod on my side, I'm invincible!
Elspeth, Sun's Nemesis|Elspeth's Healing|That guy Heliod will be the death of me.
Elspeth, Undaunted Hero|Elspeth's Miracle|Just believe in me.
Estrid, the Masked|Estrid's Replenishing Blast|Let the masquerade begin.
Freyalise, Llanowar's Fury|Freyalise's Big Party|Let's celebrate each and every one of you!
Garruk, the Veil-Cursed|Garruk's Graveyard|The dead shall help the living!
Garruk Wildspeaker|Garruk's Overrun|I speak seven languages, including Wild!
Garruk, Apex Predator|Garruk's Prey|Funny, it's usually a good thing to have an emblem...
Garruk, Caller of Beasts|Garruk's Wild Pair|Can you beat two for the price of one?
Garruk, Cursed Huntsman|Garruk's Cursed Overrun|Run wild / run free / here's your / plus three
Garruk, Primal Hunter|Garruk's Garden|They came out after a rain...
Garruk, Savage Herald|Garruk's Single Goal|Never mind those! Get HIM!
Garruk, Unleashed|Garruk's Forces of Nature|Slow and steady smashes face.
Geyadrone Dihada|Dihada's Master Plan|Pretty little pawns... Come fill your purpose.
Gideon Blackblade|Gideon's Righteous Strike|Blackblade cleaving black heart!
Gideon Jura|Gideon's Brawl|Are you man enough to mess with me?
Gideon of the Trials|Gideon's Eternity|Justice will never die!
Gideon, Ally of Zendikar|Gideon's Anthem|Giddy up! Let's all rally against the Eldrazi threat!
Gideon, Battle-Forged|Gideon's First Steps|I still have a long road ahead of me...
Gideon, Champion of Justice|Gideon's Aftermath|Gideon stands alone!
Gideon, Martial Paragon|Gideon's Alpha Strike|Geronimo!
Gideon, the Oathsworn|Gideon's Ultimate Sacrifice|Follow me to oblivion.
Grist, the Hunger Tide|Grist's Vengeance of the Dead|Bzzzzz!
Huatli, Dinosaur Knight|Huatli's Dino Thunder|Victory is ours forever more!
Huatli, Radiant Champion|Huatli's Herd|Seize. Release. Feast.
Huatli, Warrior Poet|Huatli's Poetry|Knock knock, open up the door, it's real!
Jace Beleren|Jace's Grind|Nice memories... not!
Jace Reawakened|Jace's Double Trouble|If it's worth doing, it's worth doing twice.
Jace, Arcane Strategist|Jace's Secret Passage|Don't worry. I know the way through these minds.
Jace, Architect of Thought|Jace's Incantation|I like that one. I'll steal it!
Jace, Cunning Castaway|Jace's Mirror Image|Who is real and who is fake?
Jace, Ingenious Mind-Mage|Jace's Will|Let me change your minds...
Jace, Memory Adept|Jace's Revelation|So many things to learn!
Jace, Mirror Mage|Jace the Bob|Really not much of an achievement at all, but what can you do?
Jace, Telepath Unbound|Jace's Erasure|First empty your mind and then... nope, that's it.
Jace, the Living Guildpact|Jace's Timetwister|Symmetry? What symmetry?
Jace, the Mind Sculptor|Jace's Lobotomy|What do you mean, "overpowered"?
Jace, the Perfected Mind|Jace's Keening Insight|I'll tear down your mind, so it can be rebuilt.
Jace, Unraveler of Secrets|Jace's Perfect Plan|So, I've read about this neat guy named Erayo...
Jace, Wielder of Mysteries|Jace's Neat Solution|Everything is solved. No loose ends.
Jared Carthalion|Jared's Rainbow Recycling|No matter what you believe in, I still need your help.
Jaya Ballard|Jaya's Flashback|Fire is easily rekindled.
Jaya, Fiery Negotiator|Jaya's Triple Trouble|If fire doesn't do the trick, more fire will.
Kaito Shizuki|Kaito's Stealth Army|Assemble.
Karn Liberated|Karn's Reset|Let's do this again!
Karn, Living Legacy|Karn's Ultimate Machine|This is my greates achievement. The machine... that goes 'ping'.
Kasmina, Enigma Sage|Kasmina's Private Tutoring|This will be on the spelling test next week.
Kaya the Inexorable|Kaya's Dimensional Breach|A little help here?
Kaya, Geist Hunter|Kaya's Graf Liberation|Who would you like to call?
Kaya, Ghost Assassin|Kaya's Syphon|You don't MIND, do you?
Kaya, Orzhov Usurper|Kaya's Revenge of Emptiness|Nothing I do can hurt you. Literally.
Kiora, Master of the Depths|Kiora's Fight Club|First rule is not to talk about the sucker punches
Kiora, the Crashing Wave|Kiora's Kraken|Say hello to Cthulhu for me!
Koth of the Hammer|Koth's Eruption|You won't like the mountains when they are angry!
Koth, Fire of Resistance|Koth's Molten Pinnacle|I learned this one at Valakut.
Liliana Vess|Liliana's Bidding|Stop being lazy and go to work!
Liliana of the Dark Realms|Liliana's Ritual|What do you mean, "out of character"?
Liliana of the Veil|Liliana's Choice|Which one of your children do you love best?
Liliana, Death's Majesty|Liliana's Wrath|Everybody died... except for those who were already dead.
Liliana, Death Mage|Liliana's Grave Betrayal|No, YOU explain to them why they're dead!
Liliana, Death Wielder|Liliana's Mass Raise|Death is no excuse to stop working.
Liliana, Defiant Necromancer|Liliana's Necromastery|Come join the Dark Side...
Liliana, Dreadhorde General|Liliana's Utter Obliteration|The choice is yours.
Liliana, the Last Hope|Liliana's Army|The dead will always outnumber the living...
Liliana, the Necromancer|Liliana's Recycling|Old foes to new servants, and it's environmentally friendly!
Liliana, Untouched by Death|Liliana's Graveyard Party|What? I'm not touching you!
Liliana, Waker of the Dead|Liliana's Rotten Reserves|They awaken, feeling well-rested.
Lord Windgrace|Windgrace's Hunting Party|Let me show you a true cat-astrophe.
Lolth, Spider Queen|Lolth's Eight-legged Strike|I eight all my opponents alive.
Lukka, Bound to Ruin|Lukka's Command of Ruin|Fetch. Roll. Spit acid.
Lukka, Coppercoat Outcast|Lukka's Ultimatum|Get them.
Lukka, Wayward Bonder|Lukka's Pandemonium|At them, girl!
Mordenkainen|Mordenkainen's Library|All the manuals you could ever need.
Nahiri, Heir of the Ancients|Swiss-Army Nahiri|It pays to be well-equipped.
Nahiri, the Harbinger|Nahiri's Mystery Guest|This should be your cue to run.
Nahiri, the Lithomancer|Nahiri's Gift|I pulled it out! Now I'm a king!
Narset of the Ancient Way|Narset's Burning Knowledge|Prowess both magical and martial.
Narset Transcendent|Narset's One Rule|No spells for you!
Nicol Bolas, Dragon-God|Bolas's Flawless Victory|Who's left to oppose me?
Nicol Bolas, God-Pharaoh|Bolas's Cleansing|Let's just tear this down and start again. Or... maybe tearing it down will suffice.
Nicol Bolas, Planeswalker|Bolas's Ultimatum|Whatever you do, don't call him "Nicol"!
Nicol Bolas, the Arisen|Bolas's Mind Wipe|Anything Jace can do, I can do better.
Nicol Bolas, the Deceiver|Bolas's Cunning Hit|I know exactly how to hurt you.
Nissa of Shadowed Boughs|Nissa's Reanimation|Every land hides some secrets deep down.
Nissa Revane|Nissa's Summoning|The whole village is here!
Nissa, Ascended Animist|Nissa's Overgrown Overrun|Small creatures hide in the woods. Large use them as a weapon.
Nissa, Genesis Mage|Nissa's Genesis Wave|Let's see who shows up.
Nissa, Nature's Artisan|Nissa's Stampede|Big enough for you?
Nissa, Sage Animist|Nissa's Wake-Up Call|Wake up! Time to work!
Nissa, Steward of Elements|Nissa's Flying Rocks|You don't need to be without sin to throw rocks!
Nissa, Vital Force|Nissa's Harvest|What a landfall!
Nissa, Voice of Zendikar|Nissa's Bounty|It's harvest time!
Nissa, Who Shakes the World|Nissa's Primeval Forest|No trees fall in MY forest, no matter who is around to hear.
Nissa, Worldwaker|Nissa's Awakening|The whole country is here!
Ob Nixilis of the Black Oath|Nixilis's Black Oath|We all have to bring sacrifices sometimes.
Ob Nixilis Reignited|Ob Nixilis's Torment|I'll give you dreams from beyond the underworld!
Ob Nixilis, the Adversary|Ob Nixilis's Pact|The price is, let's see... everything.
Oko, the Ringleader|Oko's Fearsome Posse|Meet new mooks, same as the old mooks.
Oko, the Trickster|Oko's Massive Friends|And watch where you're stomping!
Oko, Thief of Crowns|Oko's Unfair Switcheroo|How about some magic beans for that?
Professor Onyx|Professor's Discipline|You'll get it back at the end of the semester unless you pay a... fine.
Quintorius Kand|Quintorius's Archeological Dig|The past is still alive.
Ral Zarek|Ral's Long Day|So much work, so much time!
Ral, Caller of Storms|Ral's Invocation|The storm called and left a message.
Ral, Izzet Viceroy|Ral's Bonus|I was just researching lightning and then it hit me.
Rowan, Fearless Sparkmage|Rowan's Magnetic Personality|Personal magnetism can create the spark of revolt.
Rowan, Scholar of Sparks|Rowan's Twin Magic|Of course I haven't copied my answers, professor!
Saheeli Rai|Saheeli's Creativity|I love when all the pieces come together!
Saheeli, Filigree Master|Saheeli's Version 2.0|Better. Stronger. Faster.
Saheeli, the Gifted|Saheeli's Doubling Season|Polished to mirror sheen.
Samut, the Tested|Samut's Rapid Deployment|My friends will be here in a flash.
Sarkhan Vol|Sarkhan's Dragons|Go forth, my minions!
Sarkhan the Mad|Sarkhan's Beatdown|Tag! You're it!
Sarkhan, Dragonsoul|Sarkhan's Dragon Search|They can hide anywhere.
Sarkhan, Fireblood|Sarkhan's Call for Friends|My minions, meet the meat.
Sarkhan, the Dragonspeaker|Sarkhan's Voices|Huh? What are you saying?
Sarkhan Unbroken|Sarkhan's Dragonstorm|Skies full of dragons! Oh, what a glorious day!
Serra the Benevolent|Serra's Worship Service|As long as you have belief in me, you shall not die.
Sivitri, Dragon Master|Sivitri's Dragon Cleansing|Nothing can withstand a dragon's breath, except another dragon.
Sorin Markov|Sorin's Hypnosis|You're getting sleepy... very sleepy...
Sorin the Mirthless|Sorin's Unlucky Strike|Not very funny when it happens to you, is it?
Sorin, Grim Nemesis|Sorin's Vampire Army|Taste the might of my blood relatives!
Sorin, Imperious Bloodlord|Sorin's Progeny|Welcome to your new life. You serve me now.
Sorin, Lord of Innistrad|Sorin's Recruitment|My favorite game is Shogi!
Sorin, Solemn Visitor|Sorin's Abyss|Don't get so close to the edge!
Sorin, Vampire Lord|Sorin's Siring Party|Go forth and multiply.
Tamiyo, Compleated Sage|Tamiyo's Final Entry|I will support my family. Whatever it takes.
Tamiyo, Field Researcher|Tamiyo's Omniscience|I know exactly how your story ends...
Tamiyo, the Moon Sage|Tamiyo's Recycling|Wash, rinse, repeat!
Teferi, Hero of Dominaria|Teferi's Oblivion|Don't worry. It's just a phase.
Teferi, Master of Time|Teferi's Prolonged Afternoon|Defeating me will be quite a stretch.
Teferi, Temporal Archmage|Teferi's Time Slip|Let's speed this up a bit!
Teferi, Temporal Pilgrim|Teferi's Silent Witnessing|One of the most impressive Sylex blasts I've ever seen.
Teferi, Timebender|Teferi's Time Warp|Let's do that again!
Teferi, Timeless Voyager|Teferi's Zhalfir Trick|I'll need a few volunteers from the audience.
Teferi, Who Slows the Sunset|Teferi's Intrusion|Your turn is my turn.
Tezzeret the Schemer|Tezzeret's Assembly Line|Smashing, isn't it?
Tezzeret the Seeker|Tezzeret's Robots|You can't stop the progress!
Tezzeret, Agent of Bolas|Tezzeret's Drain|Technological superiority for the win!
Tezzeret, Artifice Master|Tezzeret's Planar Bridge|What's behind the door number one?
Tezzeret, Betrayer of Flesh|Tezzeret's Cycle of Knowledge|From knowledge, machines. From machines, knowledge.
Tezzeret, Cruel Machinist|Tezzeret's Artificial Morph|Ixidor, Ugin... THIS is how you do it!
Tezzeret, Master of Metal|Tezzeret's Confiscation|Your stuff will serve a grander design - mine.
Tezzeret, Master of the Bridge|Tezzeret's Mass Transit|Just for today, everyone rides free.
The Royal Scions|Kenrith Twins' Ultimate Combo|You hit them, I'll tell you where.
Tibalt, Cosmic Impostor|Tibalt's Heist|Who says crime doesn't pay?
Tibalt, the Fiend-Blooded|Tibalt's Treason|My side is the winning side!
Tyvar Kell|Tyvar's Charge|To arms! To arms! And remember -- look fabulous!
Ugin, the Spirit Dragon|Ugin's Anti-Ultimatum|A ragtag band of misfits, brought from the future...
Urza, Planeswalker|Urza's Ruinous Blast|Thousands of years... of this?
Venser, the Sojourner|Venser's Oblivion|Let's just clean this up a bit...
Vivien of the Arkbow|Vivien's Overrun|No, never heard of a 'Garruk' -- why do you ask?
Vivien Reid|Vivien's Utter Pandemonium|They're so cute when they're stampeding.
Vivien, Arkbow Ranger|Vivien's Wish|Welcome, old friend. I was afraid I lost you forever.
Vivien, Monsters' Advocate|Vivien's Nature Documentary|Awww, look! He has a little buddy!
Vivien, Nature's Avenger|Vivien's Magnification|Magnificent!
Vraska the Unseen|Vraska's Crew|Say hello to my little friends!
Vraska, Betrayal's Sting|Vraska's Near-Death Experience|Taste your penultimate pain!
Vraska, Golgari Queen|Vraska's Training Regime|Step one - give them a scratch. There's no step two.
Vraska, Regal Gorgon|Vraska's Scavenger Hunt|Death is not the opposite of life - it's its complement.
Vraska, Relic Seeker|Vraska's Mark|Never play hide and seek with a Gorgon.
Vraska, Scheming Gorgon|Vraska's Stone Gaze|I think we could use a new figurehead!
Vronos, Masked Inquisitor|Vronos's Best Friend|Let's see Garruk resist NOW!
Will, Scholar of Frost|Will's Elementics|I think it's better this way.
Wrenn and Realmbreaker|Wrenn's Ultimate Resource|There are no more places I cannot reach.
Wrenn and Seven|Wrenn's Wild Regrowth|The past is no burden for me.
Wrenn and Six|Wrenn's Bountiful Land|Let's retrace our steps.
Xenagos, the Reveler|Xenagos's Reveal|Mwahahaha! Now I'm a god!
Jiang Yanggu|Yanggu's Giant Growth|Now, Mowu! Fetch that tree!
Mu Yanling|Yanling's Time Manipulation|Sleep now, for three days and three nights.
Mu Yanling, Celestial Wind|Yanling's Wind of Heavens|Let's clear the skies.
Mu Yanling, Sky Dancer|Yanling's Secrets of the Deep|The water knows. Read in it.
Zariel, Archduke of Avernus|Zariel's Relentless Assault|Attack! For victory and/or death!
