add("Ajani Goldmane|Ajani's Avatar|Serra? Is that you?
Nahiri, the Harbinger|Nahiri's Mystery Guest|This should be your cue to run.
Nahiri, the Lithomancer|Nahiri's Gift|I pulled it out! Now I'm a king!
Narset Transcendent|Narset's One Rule|No spells for you!
Nicol Bolas, God-Pharaoh|Bolas's Cleansing|Let's just tear this down and start again. Or... maybe tearing it down will suffice.
Nicol Bolas, Planeswalker|Bolas's Ultimatum|Whatever you do, don't call him "Nicol"!
Nicol Bolas, the Deceiver|Bolas's Cunning Hit|I know exactly how to hurt you.
Nissa Revane|Nissa's Summoning|The whole village is here!
Nissa, Genesis Mage|Nissa's Genesis Wave|Let's see who shows up.
Nissa, Nature's Artisan|Nissa's Stampede|Big enough for you?
Nissa, Sage Animist|Nissa's Wake-Up Call|Wake up! Time to work!
Nissa, Steward of Elements|Nissa's Flying Rocks|You don't need to be without sin to throw rocks!
Nissa, Vital Force|Nissa's Harvest|What a landfall!
Nissa, Voice of Zendikar|Nissa's Bounty|It's harvest time!
Nissa, Worldwaker|Nissa's Awakening|The whole country is here!
Ob Nixilis of the Black Oath|Nixilis's Black Oath|We all have to bring sacrifices sometimes.
Ob Nixilis Reignited|Ob Nixilis's Torment|I'll give you dreams from beyond the underworld!
Ral Zarek|Ral's Long Day|So much work, so much time!
Saheeli Rai|Saheeli's Creativity|I love when all the pieces come together!
Samut, the Tested|Samut's Rapid Deployment|My friends will be here in a flash.
Sarkhan Vol|Sarkhan's Dragons|Go forth, my minions!
Sarkhan the Mad|Sarkhan's Beatdown|Tag! You're it!
Sarkhan, the Dragonspeaker|Sarkhan's Voices|Huh? What are you saying?
Sarkhan Unbroken|Sarkhan's Dragonstorm|Skies full of dragons! Oh, what a glorious day!
Sorin Markov|Sorin's Hypnosis|You're getting sleepy... very sleepy...
Sorin, Grim Nemesis|Sorin's Vampire Army|Taste the might of my blood relatives!
Sorin, Lord of Innistrad|Sorin's Recruitment|My favorite game is Shogi!
Sorin, Solemn Visitor|Sorin's Abyss|Don't get so close to the edge!
Tamiyo, Field Researcher|Tamiyo's Omniscience|I know exactly how your story ends...
Tamiyo, the Moon Sage|Tamiyo's Recycling|Wash, rinse, repeat!
Teferi, Temporal Archmage|Teferi's Time Slip|Let's speed this up a bit!
Tezzeret the Schemer|Tezzeret's Assembly Line|Smashing, isn't it?
Tezzeret the Seeker|Tezzeret's Robots|You can't stop the progress!
Tezzeret, Agent of Bolas|Tezzeret's Drain|Technological superiority for the win!
Tezzeret, Master of Metal|Tezzeret's Confiscation|Your stuff will serve a grander design - mine.
Tibalt, the Fiend-Blooded|Tibalt's Treason|My side is the winning side!
Ugin, the Spirit Dragon|Ugin's Anti-Ultimatum|A ragtag band of misfits, brought from the future...
Venser, the Sojourner|Venser's Oblivion|Let's just clean this up a bit...
Vraska the Unseen|Vraska's Crew|Say hello to my little friends!
Xenagos, the Reveler|Xenagos's Reveal|Mwahahaha! Now I'm a god!
